date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:58:59	89861/89861	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:58%20GMT	https://www.thehealthsite.com/marathi/topics/stretch-marks/	C:/heath/heath/www.thehealthsite.com/marathi/topics/stretch-marks/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:00	86192/86192	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:00%20GMT	https://www.thehealthsite.com/marathi/topics/cardiac-arrest/	C:/heath/heath/www.thehealthsite.com/marathi/topics/cardiac-arrest/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:01	91536/91536	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:00%20GMT	https://www.thehealthsite.com/marathi/photo-gallery/diseases-conditions-bloating-indicates-these-serious-health-conditions-n0817-512307/	C:/heath/heath/www.thehealthsite.com/marathi/photo-gallery/diseases-conditions-bloating-indicates-these-serious-health-conditions-n0817-512307/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:01	98296/98296	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:00%20GMT	https://www.thehealthsite.com/marathi/topics/bloating/	C:/heath/heath/www.thehealthsite.com/marathi/topics/bloating/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:02	89041/89041	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:01%20GMT	https://www.thehealthsite.com/marathi/photo-gallery/beauty-things-women-with-oily-skin-should-avoid-n0817-512536/	C:/heath/heath/www.thehealthsite.com/marathi/photo-gallery/beauty-things-women-with-oily-skin-should-avoid-n0817-512536/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:02	72125/72125	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:01%20GMT	https://www.thehealthsite.com/marathi/fitness/covid-19-third-wave-in-maharashtra-task-force-warning-third-wave-will-come-in-two-to-four-weeks-in-marathi-820553/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/covid-19-third-wave-in-maharashtra-task-force-warning-third-wave-will-come-in-two-to-four-weeks-in-marathi-820553/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:04	70659/70659	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:03%20GMT	https://www.thehealthsite.com/marathi/fitness/take-care-of-these-things-when-you-start-exercising-after-long-break-health-news-816018/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/take-care-of-these-things-when-you-start-exercising-after-long-break-health-news-816018/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:04	79502/79502	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:03%20GMT	https://www.thehealthsite.com/marathi/fitness/janhvi-kapoor-and-khushi-kapoor-spotted-cycling-in-mumbai-know-the-health-benefits-of-cycling-814264/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/janhvi-kapoor-and-khushi-kapoor-spotted-cycling-in-mumbai-know-the-health-benefits-of-cycling-814264/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:05	73582/73582	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:04%20GMT	https://www.thehealthsite.com/marathi/fitness/yoga-for-better-immunity-in-covid-19-situation-in-india-814243/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/yoga-for-better-immunity-in-covid-19-situation-in-india-814243/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:06	75067/75067	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:05%20GMT	https://www.thehealthsite.com/marathi/fitness/do-these-5-breathing-exercises-in-corona-period-for-heart-and-lungs-strong-813591/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/do-these-5-breathing-exercises-in-corona-period-for-heart-and-lungs-strong-813591/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:08	76511/76511	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:07%20GMT	https://www.thehealthsite.com/marathi/videos/beauty-what-is-the-difference-between-hair-loss-and-hair-thinning-n0617-501244/	C:/heath/heath/www.thehealthsite.com/marathi/videos/beauty-what-is-the-difference-between-hair-loss-and-hair-thinning-n0617-501244/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:09	113138/113138	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:08%20GMT	https://www.thehealthsite.com/marathi/topics/beauty-tips/	C:/heath/heath/www.thehealthsite.com/marathi/topics/beauty-tips/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:09	81716/81716	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:09%20GMT	https://www.thehealthsite.com/marathi/videos/beauty-reasons-why-you-have-a-bad-hair-day-n0617-500909/	C:/heath/heath/www.thehealthsite.com/marathi/videos/beauty-reasons-why-you-have-a-bad-hair-day-n0617-500909/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:11	77573/77573	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:10%20GMT	https://www.thehealthsite.com/marathi/videos/beauty-how-to-make-natural-holi-colours-at-home-in-marathi-g0317-476954/	C:/heath/heath/www.thehealthsite.com/marathi/videos/beauty-how-to-make-natural-holi-colours-at-home-in-marathi-g0317-476954/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:19	162121/162121	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:18%20GMT	https://www.thehealthsite.com/marathi/topics/expert-tips/	C:/heath/heath/www.thehealthsite.com/marathi/topics/expert-tips/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:20	170964/170964	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:19%20GMT	https://www.thehealthsite.com/marathi/topics/health-tips-in-marathi/	C:/heath/heath/www.thehealthsite.com/marathi/topics/health-tips-in-marathi/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:20	72615/72615	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:19%20GMT	https://www.thehealthsite.com/marathi/videos/beauty-holi-hair-care-tips-in-marathi-n0317-476854/	C:/heath/heath/www.thehealthsite.com/marathi/videos/beauty-holi-hair-care-tips-in-marathi-n0317-476854/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:23	162730/162730	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:22%20GMT	https://www.thehealthsite.com/marathi/topics/hair-care-in-marathi/	C:/heath/heath/www.thehealthsite.com/marathi/topics/hair-care-in-marathi/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:23	71810/71810	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:22%20GMT	https://www.thehealthsite.com/marathi/beauty/hair-care-tips-home-remedies-homemade-oils-for-long-and-healthy-hair-marathi-816654/	C:/heath/heath/www.thehealthsite.com/marathi/beauty/hair-care-tips-home-remedies-homemade-oils-for-long-and-healthy-hair-marathi-816654/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:24	72000/72000	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:23%20GMT	https://www.thehealthsite.com/marathi/beauty/suji-face-scrub-use-in-summer-know-its-benefits-in-marathi-813925/	C:/heath/heath/www.thehealthsite.com/marathi/beauty/suji-face-scrub-use-in-summer-know-its-benefits-in-marathi-813925/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:25	73464/73464	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:24%20GMT	https://www.thehealthsite.com/marathi/beauty/ayurvedic-tips-will-help-skin-glow-naturally-and-prevent-pimples-in-marathi-806236/	C:/heath/heath/www.thehealthsite.com/marathi/beauty/ayurvedic-tips-will-help-skin-glow-naturally-and-prevent-pimples-in-marathi-806236/index.html	(from https://www.thehealthsite.com/marathi/)
